date,members,score,scored_by,favourites,member_change,scored_by_change,favourites_change
2026-01-14,838127,8.2,500709,125392,0.0,0.0,0.0
2026-01-15,838262,8.2,500790,125401,135.0,81.0,9.0
2026-01-16,838377,8.2,500860,125409,115.0,70.0,8.0
2026-01-17,838529,8.2,500932,125421,152.0,72.0,12.0
2026-01-18,838683,8.2,501003,125440,154.0,71.0,19.0
2026-01-19,838816,8.2,501065,125449,133.0,62.0,9.0
2026-01-20,838983,8.2,501160,125444,167.0,95.0,-5.0
2026-01-21,839133,8.2,501229,125459,150.0,69.0,15.0
2026-01-22,839282,8.2,501312,125474,149.0,83.0,15.0
2026-01-23,839436,8.2,501391,125482,154.0,79.0,8.0
2026-01-24,839537,8.2,501446,125494,101.0,55.0,12.0
2026-01-25,839636,8.2,501494,125507,99.0,48.0,13.0
2026-01-26,839780,8.2,501568,125521,144.0,74.0,14.0
2026-01-27,839930,8.2,501649,125536,150.0,81.0,15.0
2026-01-28,840054,8.2,501726,125549,124.0,77.0,13.0
2026-01-29,840187,8.2,501796,125559,133.0,70.0,10.0
2026-01-30,840294,8.2,501861,125572,107.0,65.0,13.0
2026-01-31,840410,8.2,501934,125585,116.0,73.0,13.0
2026-02-01,840515,8.2,501999,125595,105.0,65.0,10.0
2026-02-02,840640,8.2,502059,125595,125.0,60.0,0.0
2026-02-03,840794,8.2,502135,125610,154.0,76.0,15.0
2026-02-04,840928,8.2,502208,125614,134.0,73.0,4.0
2026-02-05,841040,8.2,502273,125614,112.0,65.0,0.0
2026-02-06,841114,8.2,502316,125619,74.0,43.0,5.0
2026-02-07,841211,8.2,502373,125631,97.0,57.0,12.0
2026-02-08,841323,8.2,502428,125635,112.0,55.0,4.0
2026-02-09,841439,8.2,502495,125647,116.0,67.0,12.0
2026-02-10,841526,8.2,502545,125661,87.0,50.0,14.0
2026-02-11,841636,8.2,502609,125671,110.0,64.0,10.0
2026-02-12,841739,8.2,502656,125681,103.0,47.0,10.0
2026-02-13,841813,8.2,502696,125695,74.0,40.0,14.0
2026-02-14,841906,8.2,502739,125703,93.0,43.0,8.0
2026-02-15,841984,8.2,502781,125710,78.0,42.0,7.0
2026-02-16,842075,8.2,502842,125716,91.0,61.0,6.0
2026-02-17,842192,8.2,502916,125729,117.0,74.0,13.0
2026-02-18,842296,8.2,502965,125736,104.0,49.0,7.0
2026-02-19,842409,8.2,503017,125744,113.0,52.0,8.0
2026-02-20,842523,8.2,503090,125755,114.0,73.0,11.0
2026-02-21,842611,8.2,503127,125763,88.0,37.0,8.0
2026-02-22,842719,8.2,503185,125764,108.0,58.0,1.0
2026-02-23,842766,8.2,503247,125776,47.0,62.0,12.0
2026-02-24,842879,8.2,503317,125784,113.0,70.0,8.0
2026-02-25,842968,8.2,503369,125799,89.0,52.0,15.0
2026-02-26,843061,8.2,503422,125809,93.0,53.0,10.0
2026-02-27,843160,8.2,503463,125813,99.0,41.0,4.0
2026-02-28,843266,8.2,503531,125823,106.0,68.0,10.0
2026-03-01,843399,8.2,503604,125829,133.0,73.0,6.0
2026-03-02,843507,8.2,503653,125836,108.0,49.0,7.0
2026-03-03,843611,8.2,503711,125850,104.0,58.0,14.0
2026-03-04,843685,8.2,503763,125861,74.0,52.0,11.0
